id,category,親category
1,国際債券・短期債（H）,新興国債券
2,国内債券・中長期債,国内債券
3,国際債券・グローバル・含む日本（F）,先進国債券
4,国際債券・グローバル・含む日本（H）,先進国債券
5,安定成長,国内株式
6,国際債券・欧州（H）,先進国債券
7,安定,国内債券
8,国際債券・グローバル・除く日本（H）,先進国債券
9,国際債券・北米（H）,先進国債券
10,ターゲットイヤー?2020,国内株式
11,国際債券・グローバル・除く日本（F）,先進国債券
12,国際債券・北米（F）,先進国債券
13,ターゲットイヤー2031?,国内株式
14,国内REIT,国内リート
15,国際債券・ハイイールド債（H）,新興国債券
16,国際債券・エマージング・複数国（F),新興国債券
17,国際債券・短期債（F）,先進国債券
18,バランス,国内株式
19,国際債券・エマージング・単一国（F),新興国債券
20,国際債券・エマージング・複数国（H),新興国債券
21,国際債券・ハイイールド債（F）,新興国債券
22,コモディティ,新興国リート
23,国際債券・オセアニア（F）,新興国債券
24,ターゲットイヤー2021?2030,国内株式
25,国内中型バリュー,国内株式
26,成長,国内株式
27,国際株式・グローバル・除く日本（H）,先進国株式
28,国際債券・欧州（F）,先進国債券
29,国際債券・転換社債（F）,先進国債券
30,国際株式・欧州（F）,先進国債券
31,国内大型ブレンド,国内株式
32,国際株式・グローバル・除く日本（F）,先進国株式
33,国内大型バリュー,国内株式
34,ヘッジファンド,先進国リート
35,国内中型ブレンド,国内株式
36,国際株式・北米（H）,先進国株式
37,国内大型グロース,国内株式
38,国際株式・グローバル・含む日本（F）,全世界株式
39,国際REIT・グローバル・含む日本（F）,先進国リート
40,国際REIT・特定地域（F）,先進国リート
41,国際株式・北米（F）,先進国株式
42,国際株式・グローバル・含む日本（H）,先進国株式
43,国際REIT・特定地域（H）,先進国リート
44,国内中型グロース,国内株式
45,国際REIT・グローバル・含む日本（H）,先進国リート
46,国際株式・エマージング・複数国（F),新興国株式
47,国際REIT・グローバル・除く日本（F）,先進国リート
48,国際株式・オセアニア（F）,新興国株式
49,国内小型ブレンド,国内株式
50,国内小型グロース,国内株式
51,国際株式・中国（F）,新興国株式
52,国際株式・インド（F）,新興国株式
53,国際株式・エマージング・単一国（F),新興国株式
54,国際株式・ブラジル（F）,新興国株式
