id,category
1,国際債券・短期債（H）
2,国内債券・中長期債
3,国際債券・グローバル・含む日本（F）
4,国際債券・グローバル・含む日本（H）
5,安定成長
6,国際債券・欧州（H）
7,安定
8,国際債券・グローバル・除く日本（H）
9,国際債券・北米（H）
10,ターゲットイヤー?2020
11,国際債券・グローバル・除く日本（F）
12,国際債券・北米（F）
13,ターゲットイヤー2031?
14,国内REIT
15,国際債券・ハイイールド債（H）
16,国際債券・エマージング・複数国（F)
17,国際債券・短期債（F）
18,バランス
19,国際債券・エマージング・単一国（F)
20,国際債券・エマージング・複数国（H)
21,国際債券・ハイイールド債（F）
22,コモディティ
23,国際債券・オセアニア（F）
24,ターゲットイヤー2021?2030
25,国内中型バリュー
26,成長
27,国際株式・グローバル・除く日本（H）
28,国際債券・欧州（F）
29,国際債券・転換社債（F）
30,国際株式・欧州（F）
31,国内大型ブレンド
32,国際株式・グローバル・除く日本（F）
33,国内大型バリュー
34,ヘッジファンド
35,国内中型ブレンド
36,国際株式・北米（H）
37,国内大型グロース
38,国際株式・グローバル・含む日本（F）
39,国際REIT・グローバル・含む日本（F）
40,国際REIT・特定地域（F）
41,国際株式・北米（F）
42,国際株式・グローバル・含む日本（H）
43,国際REIT・特定地域（H）
44,国内中型グロース
45,国際REIT・グローバル・含む日本（H）
46,国際株式・エマージング・複数国（F)
47,国際REIT・グローバル・除く日本（F）
48,国際株式・オセアニア（F）
49,国内小型ブレンド
50,国内小型グロース
51,国際株式・中国（F）
52,国際株式・インド（F）
53,国際株式・エマージング・単一国（F)
54,国際株式・ブラジル（F）
